Manejo.Suelo,suelo,mean,sd,p05,p25,p50,p75,p95,localidad,cultivo
Intermedio-Corto - 25 Jun - 140N,(Hapludol antico/Norumbega),4286,1212,1978,3619,4380,5266,5869,9 DE JULIO,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),4055,1200,1684,3365,4090,4982,5604,9 DE JULIO,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol tipico/Bragado),3797,1203,1497,3096,3818,4758,5362,9 DE JULIO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol antico/Norumbega),4341,1150,1977,3705,4584,5236,5747,9 DE JULIO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),4059,1131,1810,3398,4281,4939,5465,9 DE JULIO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol tipico/Bragado),3847,1146,1526,3142,4079,4692,5239,9 DE JULIO,TRIGO
III Largo - 15 Oct,(Hapludol antico/San Jorge),3279,1494,884,2164,3204,4605,5638,PEHUAJO,SOJA
III Largo - 15 Oct,(Hapludol thapto argico/Ortiz de Rosas),3138,1461,883,2100,3068,4241,5572,PEHUAJO,SOJA
III Largo - 15 Oct,(Hapludol tipico/Pehuajo),2943,1397,1032,1922,2868,3813,5511,PEHUAJO,SOJA
IV Medio - 10 Nov,(Hapludol antico/San Jorge),3292,1411,805,2292,3390,4438,5432,PEHUAJO,SOJA
IV Medio - 10 Nov,(Hapludol thapto argico/Ortiz de Rosas),3162,1382,759,2190,3111,4152,5434,PEHUAJO,SOJA
IV Medio - 10 Nov,(Hapludol tipico/Pehuajo),2972,1320,739,2074,2950,3864,5206,PEHUAJO,SOJA
25 Sept - 150N - 6.5pl,(Hapludol antico/San Jorge),9915,2153,5171,8848,10707,11454,12172,PEHUAJO,MAIZ TEMPRANO
25 Sept - 150N - 6.5pl,(Hapludol thapto argico/Ortiz de Rosas),9845,2478,5654,7958,10616,11796,12469,PEHUAJO,MAIZ TEMPRANO
25 Sept - 150N - 6.5pl,(Hapludol tipico/Pehuajo),6796,2122,3250,5288,6980,8415,10172,PEHUAJO,MAIZ TEMPRANO
30 Nov - 130N - 5.5pl,(Hapludol antico/San Jorge),9250,1537,6334,8711,9695,10294,10966,PEHUAJO,MAIZ TARDIO
30 Nov - 130N - 5.5pl,(Hapludol thapto argico/Ortiz de Rosas),9136,1928,5127,8452,9652,10428,11221,PEHUAJO,MAIZ TARDIO
30 Nov - 130N - 5.5pl,(Hapludol tipico/Pehuajo),8050,1684,4905,7370,8308,9162,10173,PEHUAJO,MAIZ TARDIO
Intermedio-Corto - 25 Jun - 140N,(Hapludol antico/San Jorge),3940,1294,1832,2980,4018,5100,5734,PEHUAJO,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),3669,1417,1291,2611,3679,4811,5741,PEHUAJO,TRIGO
Intermedio-Corto - 25 Jun - 140N,(Hapludol tipico/Pehuajo),3622,1400,1293,2568,3687,4766,5684,PEHUAJO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol antico/San Jorge),3931,1169,1803,3129,4008,4879,5470,PEHUAJO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol thapto argico/Ortiz de Rosas),3640,1285,1321,2765,3680,4642,5459,PEHUAJO,TRIGO
Intermedio-Largo - 5 Jun - 140N,(Hapludol tipico/Pehuajo),3603,1269,1307,2730,3589,4561,5382,PEHUAJO,TRIGO
III Largo - 15 Nov,(Argiudol tipico/Mar del Plata (tosca 140 cm)),2936,1234,669,1946,3150,4010,4557,TANDIL,SOJA
III Largo - 15 Nov,(Argiudol tipico/Mar del Plata (tosca 60 cm)),1372,953,104,753,1151,1874,3177,TANDIL,SOJA
III Largo - 15 Nov,(Argiudol tipico/Tandil),3000,1170,1056,2118,3288,3968,4597,TANDIL,SOJA
III Largo - 15 Nov,(Hapludol thapto argico/Egana),2991,1190,1043,2038,3258,4020,4563,TANDIL,SOJA
IV Largo - 10 Nov,(Argiudol tipico/Mar del Plata (tosca 140 cm)),2501,1186,437,1463,2696,3428,4161,TANDIL,SOJA
IV Largo - 10 Nov,(Argiudol tipico/Mar del Plata (tosca 60 cm)),1164,886,151,488,941,1580,3064,TANDIL,SOJA
IV Largo - 10 Nov,(Argiudol tipico/Tandil),2747,1077,786,1958,2969,3558,4172,TANDIL,SOJA
IV Largo - 10 Nov,(Hapludol thapto argico/Egana),2734,1099,742,1882,3012,3566,4164,TANDIL,SOJA
1 Oct - 140N - 6.5pl,(Argiudol tipico/Mar del Plata (tosca 140 cm)),12311,2498,7760,10854,12885,13980,15209,TANDIL,MAIZ TEMPRANO
1 Oct - 140N - 6.5pl,(Argiudol tipico/Mar del Plata (tosca 60 cm)),7440,3208,954,5276,7990,9741,11423,TANDIL,MAIZ TEMPRANO
1 Oct - 140N - 6.5pl,(Argiudol tipico/Tandil),11914,2307,7666,10606,12572,13645,14508,TANDIL,MAIZ TEMPRANO
1 Oct - 140N - 6.5pl,(Hapludol thapto argico/Egana),11895,2198,8047,11308,12419,13316,14239,TANDIL,MAIZ TEMPRANO
5 Dic - 120N - 5.5pl,(Argiudol tipico/Mar del Plata (tosca 140 cm)),10372,2367,6263,9000,10702,12036,13760,TANDIL,MAIZ TARDIO
5 Dic - 120N - 5.5pl,(Argiudol tipico/Mar del Plata (tosca 60 cm)),6591,3303,487,4552,6842,9157,10876,TANDIL,MAIZ TARDIO
5 Dic - 120N - 5.5pl,(Argiudol tipico/Tandil),9849,2218,5938,8425,10249,11402,13040,TANDIL,MAIZ TARDIO
5 Dic - 120N - 5.5pl,(Hapludol thapto argico/Egana),9799,2016,6292,8876,10231,11108,12549,TANDIL,MAIZ TARDIO
Intermedio-Corto - 25 Jul - 160N,(Argiudol tipico/Mar del Plata (tosca 140 cm)),4885,1396,2158,4176,5097,5908,6683,TANDIL,TRIGO
Intermedio-Corto - 25 Jul - 160N,(Argiudol tipico/Mar del Plata (tosca 60 cm)),4131,1323,1893,3390,4164,5028,6340,TANDIL,TRIGO
Intermedio-Corto - 25 Jul - 160N,(Argiudol tipico/Tandil),4793,1480,2055,3935,4956,5864,6811,TANDIL,TRIGO
Intermedio-Corto - 25 Jul - 160N,(Hapludol thapto argico/Egana),4993,1440,2225,4196,5184,6098,6822,TANDIL,TRIGO
Intermedio-Largo - 1 Jul - 160N,(Argiudol tipico/Mar del Plata (tosca 140 cm)),4865,1325,2105,4185,5153,5839,6484,TANDIL,TRIGO
Intermedio-Largo - 1 Jul - 160N,(Argiudol tipico/Mar del Plata (tosca 60 cm)),4110,1265,1750,3311,4192,4958,6189,TANDIL,TRIGO
Intermedio-Largo - 1 Jul - 160N,(Argiudol tipico/Tandil),4842,1441,1959,4068,5108,5908,6675,TANDIL,TRIGO
Intermedio-Largo - 1 Jul - 160N,(Hapludol thapto argico/Egana),4997,1398,2157,4276,5234,6000,6758,TANDIL,TRIGO
